Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Daihatsu,X 1.3 STD,Xenia,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Ilir Barat I, Palembang Kota, Sumatra Selatan",Rp 128.500.000,
Honda,E,Mobilio,2016,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Purwodadi, Grobogan Kab., Jawa Tengah",Rp 145.000.000,
Nissan,Lain-lain,Grand livina,2011,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Pasaman, Pasaman Barat Kab., Sumatra Barat",Rp 150.000.000,
Toyota,S,Rush,2008,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Sensor Parkir']",Individu,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",Rp 120.000.000,
Toyota,1.0,Starlet,1991,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,<1.000 cc,Jok kulit,Individu,"Bojongsoang, Bandung Kab., Jawa Barat",Rp 32.000.000,
Honda,Lain-lain,Civic,1991,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,,Individu,"Medan Sunggal, Medan Kota, Sumatra Utara",Rp 45.000.000,
Nissan,1.2L,March,2011,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,,Individu,"Palmerah, Jakarta Barat, Jakarta D.K.I.",Rp 80.000.000,
Daihatsu,R 1.3 Sporty,Xenia,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Sensor Parkir', 'Kamera Belakang', 'Airbag', 'Electric Window', 'Bluetooth Audio']",Individu,"Pabuaran, Cirebon Kab., Jawa Barat",Rp 130.000.000,
Nissan,Lain-lain,X-Trail,2010,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS']",Individu,"Cakung, Jakarta Timur, Jakarta D.K.I.",Rp 120.000.000,
Toyota,G,Yaris,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Kembangan, Jakarta Barat, Jakarta D.K.I.",Rp 150.000.000,
Mitsubishi,Grandia,Kuda,2004,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,,Individu,"Babelan, Bekasi Kab., Jawa Barat",Rp 67.850.000,
Mitsubishi,Pick Up,T120SS,2014,40.000-45.000 km,Bensin,Hitam,Manual,,Pick-up,>1.000 - 1.500 cc,,Individu,"Syiah Kuala, Banda Aceh Kota, Aceh D.I.",Rp 66.500.000,
Daihatsu,Lain-lain,Charade,1994,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,Jok kulit,Individu,"Purworejo, Purworejo Kab., Jawa Tengah",Rp 19.750.000,
Toyota,S,Avanza,2010,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.500 - 2.000 cc,,Individu,"Ciracas, Jakarta Timur, Jakarta D.K.I.",Rp 110.000.000,
Daihatsu,X,Ayla,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,<1.000 cc,Sensor Parkir,Individu,"Panakkukang, Makassar Kota, Sulawesi Selatan",Rp 105.000.000,Carsentro Makassar
Toyota,Gli,Soluna,2003,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Sedan,>1.000 - 1.500 cc,,Individu,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",Rp 55.000.000,
Toyota,Lain-lain,Corolla,1994,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,>1.500 - 2.000 cc,,Individu,"Bambang Lipuro, Bantul Kab., Yogyakarta D.I.",Rp 55.000.000,
Toyota,S,Avanza,2010,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,,Individu,"Kotabaru, Karawang Kab., Jawa Barat",Rp 110.000.000,
Suzuki,GL,Splash,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Wagon,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Mengwi, Kab. Badung, Bali",Rp 92.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,"['Jok kulit', 'Bluetooth Audio']",Individu,"Sako, Palembang Kota, Sumatra Selatan",Rp 91.000.000,
Toyota,TRD Sportivo,Yaris,2013,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,>1.000 - 1.500 cc,,Individu,"Lumajang, Lumajang Kab., Jawa Timur",Rp 135.000.000,
Suzuki,Estilo,Karimun,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X2,,,,Individu,"Bekasi Timur, Bekasi Kota, Jawa Barat",Rp 65.000.000,
Toyota,Veloz,Avanza,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Minibus,>1.000 - 1.500 cc,Bluetooth Audio,Individu,"Cileunyi, Bandung Kab., Jawa Barat",Rp 145.000.000,
Toyota,G Basic,Avanza,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Moonroof', 'Sensor Parkir', 'Sunroof']",Individu,"Seunagan, Nagan Raya Kab., Aceh D.I.",Rp 150.000.000,
Daihatsu,R 1.3 STD,Xenia,2017,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Medan Petisah, Medan Kota, Sumatra Utara",Rp 135.000.000,
Honda,RS,Brio,2017,40.000-45.000 km,Bensin,Hitam,Manual,,Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Mangkubumi, Tasikmalaya Kota, Jawa Barat",Rp 137.000.000,
Suzuki,Lain-lain,Baleno next-G,2005,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,>1.000 - 1.500 cc,,Individu,"Kebakkramat, Karanganyar Kab., Jawa Tengah",Rp 65.000.000,
Toyota,G,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,Airbag,Individu,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",Rp 185.000.000,
Honda,Lain-lain,Accord,1989,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,>2.000 - 3.000 cc,,Individu,"Bayang, Pesisir Selatan Kab., Sumatra Barat",Rp 25.000.000,Bursa Otomotif Sunter
Toyota,1.5,Limo,2016,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",Rp 135.000.000,
Toyota,J,Innova,2013,40.000-45.000 km,Bensin,Hitam,Manual,,MPV,,,Individu,"Jatinangor, Sumedang Kab., Jawa Barat",Rp 160.000.000,
Honda,1.6,Accord,1986,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,"['Jok kulit', 'Electric Window', 'Bluetooth Audio']",Individu,"Baleendah, Bandung Kab., Jawa Barat",Rp 17.900.000,
Toyota,G,Avanza,2011,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.500 - 2.000 cc,Jok kulit,Individu,"Antapani (Cicadas), Bandung Kota, Jawa Barat",Rp 113.000.000,
Daihatsu,X 1.3 STD,Xenia,2018,40.000-45.000 km,Bensin,Hitam,Manual,,MPV,>1.000 - 1.500 cc,,Individu,"Ampenan, Mataram Kota, Nusa Tenggara Barat",Rp 150.000.000,
Daihatsu,Pick Up Jumbo 1.3,Espass,2006,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,Jok kulit,Individu,"Kedamaian, Bandar Lampung Kota, Lampung",Rp 23.000.000,
Suzuki,GX,Ertiga,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,,Individu,"Mojolaban, Sukoharjo Kab., Jawa Tengah",Rp 137.000.000,
Daihatsu,1.3,Xenia,2018,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,,,Individu,"Kertak Hanyar, Banjar Kab., Kalimantan Selatan",Rp 145.000.000,Bursa Otomotif Sunter
Daihatsu,Lain-lain,Espass,2005,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Karang Tengah, Tangerang Kota, Banten",Rp 29.000.000,
Nissan,Lain-lain,Grand livina,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Laweyan, Surakarta Kota, Jawa Tengah",Rp 126.500.000,
Toyota,Lain-lain,Lain-lain,2002,40.000-45.000 km,Bensin,Hitam,Manual,,,>1.000 - 1.500 cc,,Individu,"Abung Semuli, Lampung Utara Kab., Lampung",Rp 80.000.000,
Mitsubishi,Pick Up,T120SS,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Arcamanik, Bandung Kota, Jawa Barat",Rp 68.000.000,
Daihatsu,D,Ayla,2015,40.000-45.000 km,Bensin,Hitam,Manual,,Compact & City Car,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang']",Individu,"Kedamaian, Bandar Lampung Kota, Lampung",Rp 80.000.000,
Hyundai,Lain-lain,Lain-lain,1997,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit']",Individu,"Sukarame, Bandar Lampung Kota, Lampung",Rp 24.000.000,
Honda,E,Mobilio,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Electric Window', 'Bluetooth Audio', 'Sensor Parkir', 'Airbag']",Individu,"Medan Selayang, Medan Kota, Sumatra Utara",Rp 140.000.000,
Toyota,G,Avanza,2010,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,,Individu,"Jayapura Selatan, Jayapura Kota, Papua",Rp 115.000.000,
Honda,RS 1.2,Brio,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Serpong, Tangerang Selatan Kota, Banten",Rp 128.000.000,
Daihatsu,D,Sirion,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Buleleng, Buleleng Kab., Bali",Rp 95.000.000,
Honda,VTEC,City,2000,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Sedan,>1.000 - 1.500 cc,Bluetooth Audio,Individu,"Medan Johor, Medan Kota, Sumatra Utara",Rp 63.000.000,Bursa Gading Auto Center
Toyota,G,Vios,2007,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Srono, Banyuwangi  Kab., Jawa Timur",Rp 78.000.000,
Toyota,G,Innova,2004,40.000-45.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Denpasar Selatan, Denpasar Kota, Bali",Rp 107.000.000,Pasar Mobil Kemayoran
Toyota,E,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Jok kulit', 'Electric Window', 'Airbag']",Individu,"Semarang Timur, Semarang Kota, Jawa Tengah",Rp 134.000.000,Carsentro Semarang
Proton,FLX,Saga,2012,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,,Individu,"Gambir, Jakarta Pusat, Jakarta D.K.I.",Rp 35.000.000,
Daihatsu,TS Extra,Terios,2014,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Cikarang Barat, Bekasi Kab., Jawa Barat",Rp 133.000.000,
Toyota,Lain-lain,Lain-lain,2011,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio']",Individu,"Binjai Timur, Binjai Kota, Sumatra Utara",Rp 139.000.000,
Daihatsu,Adventure R,Terios,2015,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",Rp 155.000.000,
Daihatsu,1.2 R,Sigra,2018,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Depok, Sleman Kab., Yogyakarta D.I.",Rp 112.000.000,
Honda,Satya E,Brio,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Pati, Pati Kab., Jawa Tengah",Rp 117.000.000,
Daihatsu,X Elegant,Ayla,2014,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Coupe,>1.000 - 1.500 cc,"['Sensor Parkir', 'Kamera Belakang', 'Electric Window', 'Airbag']",Individu,"Tegal Timur, Tegal Kota, Jawa Tengah",Rp 81.500.000,
Suzuki,GX,Ertiga,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'GPS', 'Jok kulit', 'Sensor Parkir']",Individu,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",Rp 165.000.000,
Toyota,G,Innova,2014,40.000-45.000 km,Bensin,Hitam,Manual,,,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Rp 164.000.000,
Toyota,S,Avanza,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Minibus,>2.000 - 3.000 cc,Sensor Parkir,Individu,"Ulee Kareng, Banda Aceh Kota, Aceh D.I.",Rp 115.500.000,
Daihatsu,Lain-lain,Gran max Pick-up,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Prajurit Kulon, Mojokerto Kota, Jawa Timur",Rp 97.000.000,
Suzuki,Mega Carry,APV,2013,40.000-45.000 km,Bensin,Hitam,Manual,,Pick-up,>1.000 - 1.500 cc,,Individu,"Pondok Aren, Tangerang Selatan Kota, Banten",Rp 85.000.000,
Daihatsu,M,Sirion,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Compact & City Car,>1.000 - 1.500 cc,"['Sensor Parkir', 'Jok kulit']",Individu,"Purwokerto Timur, Banyumas Kab., Jawa Tengah",Rp 107.000.000,
Honda,S,Mobilio,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit']",Individu,"Soreang, Bandung Kab., Jawa Barat",Rp 140.000.000,
Toyota,G,Calya,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Jok kulit,Individu,"Batang Kuis, Deli Serdang Kab., Sumatra Utara",Rp 70.000.000,
Honda,Lain-lain,Civic,1991,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit']",Individu,"Semarang Barat, Semarang Kota, Jawa Tengah",Rp 30.000.000,
Nissan,Lain-lain,Grand livina,2010,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,,Individu,"Sukaraja, Tasikmalaya Kab., Jawa Barat",Rp 90.000.000,
Toyota,Spacio 1.5,Corolla,1991,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,,Individu,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",Rp 55.000.000,
Toyota,G,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,,Individu,"Kedungkandang, Malang Kota, Jawa Timur",Rp 170.000.000,
Suzuki,GL,Ertiga,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Classic Car,>1.000 - 1.500 cc,,Individu,"Wedung, Demak Kab., Jawa Tengah",Rp 117.000.000,
Mitsubishi,Pick Up,L300,<1986,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Kertosono, Nganjuk Kab., Jawa Timur",Rp 25.000.000,
Daihatsu,X 1.3 STD,Xenia,2018,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Medan Denai, Medan Kota, Sumatra Utara",Rp 142.500.000,
Nissan,Lain-lain,Grand livina,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.000 - 1.500 cc,Sensor Parkir,Individu,"Bogor Tengah - Kota, Bogor Kota, Jawa Barat",Rp 110.000.000,
Honda,1.3,Civic,1986,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Coupe,>1.000 - 1.500 cc,Jok kulit,Individu,"Wonoayu, Sidoarjo  Kab., Jawa Timur",Rp 30.000.000,
Daihatsu,X,Ayla,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Electric Window', 'Sensor Parkir', 'Airbag', 'Jok kulit', 'Bluetooth Audio']",Individu,"Sukomanunggal, Surabaya Kota, Jawa Timur",Rp 93.000.000,
Toyota,2.0,Corona,1992,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,,,Individu,"Kedamaian, Bandar Lampung Kota, Lampung",Rp 28.000.000,
Toyota,G Luxury,Innova,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,"['Jok kulit', 'Bluetooth Audio', 'Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Panyileukan, Bandung Kota, Jawa Barat",Rp 120.000.000,
Toyota,Veloz,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Marpoyan Damai, Pekanbaru Kota, Riau",Rp 181.000.000,
Toyota,V,Innova,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,,>1.500 - 2.000 cc,,Individu,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Rp 180.000.000,
Toyota,Veloz,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Marpoyan Damai, Pekanbaru Kota, Riau",Rp 181.000.000,
Honda,RS Limited Edition,Mobilio,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Pondok Gede, Bekasi Kota, Jawa Barat",Rp 147.000.000,
Chevrolet,LT,Spin,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",Rp 92.000.000,
Toyota,TRD Sportivo,Agya,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,,Individu,"Nanggalo, Padang Kota, Sumatra Barat",Rp 100.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.500 - 2.000 cc,Jok kulit,Individu,"Kemuning, Palembang Kota, Sumatra Selatan",Rp 58.000.000,Bursa Mobil DTC
Nissan,Lain-lain,Grand livina,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Blimbing, Malang Kota, Jawa Timur",Rp 135.000.000,
Toyota,G,Innova,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.500 - 2.000 cc,,Individu,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",Rp 190.000.000,
Toyota,G Basic,Avanza,2005,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,Jok kulit,Individu,"Praya, Lombok Tengah Kab., Nusa Tenggara Barat",Rp 85.000.000,
Toyota,V,Sienta,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",,"Benda, Tangerang Kota, Banten",Rp 150.000.000,
Toyota,G,Avanza,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Electric Window', 'Sensor Parkir', 'Airbag', 'Jok kulit']",Individu,"Krembangan, Surabaya Kota, Jawa Timur",Rp 135.000.000,
Suzuki,GL,APV,2009,40.000-45.000 km,Bensin,Hitam,Manual,4X2,,,,Individu,"Sukun, Malang Kota, Jawa Timur",Rp 95.000.000,
Toyota,G,Avanza,2011,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit']",Individu,"Cempaka, Banjarbaru Kota, Kalimantan Selatan",Rp 112.000.000,
Chery,Lain-lain,Lain-lain,2002,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Mranggen, Demak Kab., Jawa Tengah",Rp 25.000.000,
Suzuki,GL,Splash,2012,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Depan', 'Sensor Parkir']",Individu,"Mengwi, Kab. Badung, Bali",Rp 92.000.000,
Honda,i-DSI,Jazz,2006,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,"['Sensor Parkir', 'Kamera Belakang', 'Jok kulit', 'Electric Window', 'Bluetooth Audio']",Individu,"Dawe, Kudus Kab., Jawa Tengah",Rp 90.000.000,
Toyota,Lain-lain,Corona,<1986,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Sedan,>1.000 - 1.500 cc,Jok kulit,Individu,"Tampan, Pekanbaru Kota, Riau",Rp 21.500.000,
Toyota,G,Calya,2018,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Medan Selayang, Medan Kota, Sumatra Utara",Rp 140.000.000,
Suzuki,GX,Ertiga,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,Kamera Belakang,Individu,"Semarang Utara, Semarang Kota, Jawa Tengah",Rp 155.000.000,
Toyota,G,Avanza,2008,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Bus,>1.000 - 1.500 cc,,Individu,"Blang Pidie, Aceh Barat Daya Kab., Aceh D.I.",Rp 105.000.000,
Toyota,Spacio 1.5,Corolla,1991,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Ciampea, Bogor Kab., Jawa Barat",Rp 35.000.000,
Suzuki,GX,Ertiga,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,,Individu,"Tanah Sereal, Bogor Kota, Jawa Barat",Rp 119.000.000,
Nissan,2.4 Spirit S1,Terrano,2004,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Jeep,>1.500 - 2.000 cc,Electric Window,Individu,"Gedangan, Sidoarjo  Kab., Jawa Timur",Rp 75.000.000,
Suzuki,1.0,Katana,1986,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Jeep,<1.000 cc,,Individu,"Bangkala Barat, Jenepronto Kab., Sulawesi Selatan",Rp 20.000.000,
Daihatsu,Xi Family,Xenia,2008,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window']",Individu,"Ponorogo, Ponorogo Kab., Jawa Timur",Rp 86.000.000,
Toyota,Lain-lain,Kijang Pick-Up,2005,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.500 - 2.000 cc,,Individu,"Ciracas, Jakarta Timur, Jakarta D.K.I.",Rp 39.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2017,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.500 - 2.000 cc,,Individu,"Balapulang, Tegal Kab., Jawa Tengah",Rp 97.000.000,
Mitsubishi,Lain-lain,T120SS,1995,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Tingkir, Salatiga Kota, Jawa Tengah",Rp 20.000.000,
Daihatsu,R,Xenia,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,,Individu,"Krian, Sidoarjo  Kab., Jawa Timur",Rp 112.000.000,
Daihatsu,X Prestige,Luxio,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Medan Kota, Medan Kota, Sumatra Utara",Rp 132.000.000,
