Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Daihatsu,X Prestige,Luxio,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Medan Petisah, Medan Kota, Sumatra Utara",Rp 142.000.000,
Suzuki,GX,Ertiga,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Jok kulit', 'Sensor Parkir']",Individu,"Tanggul, Jember Kab., Jawa Timur",Rp 132.000.000,
Suzuki,Lain-lain,Carry,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Pick-up,>1.000 - 1.500 cc,Jok kulit,Individu,"Medan Kota, Medan Kota, Sumatra Utara",Rp 70.500.000,
Daihatsu,1.2 R,Sigra,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Jok kulit', 'Sensor Parkir']",Individu,"Balikpapan Selatan, Balikpapan Kota, Kalimantan Timur",Rp 115.000.000,
Chevrolet,Lain-lain,Optra,2009,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit']",Individu,"Medan Helvetia, Medan Kota, Sumatra Utara",Rp 115.000.000,
Mitsubishi,Pick Up,T120SS,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Prambanan, Klaten Kab., Jawa Tengah",Rp 80.000.000,
Suzuki,GX,Swift,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Krembangan, Surabaya Kota, Jawa Timur",Rp 142.000.000,
Toyota,G,Avanza,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Sensor Parkir', 'Electric Window', 'Airbag']",Individu,"Denpasar Timur, Denpasar Kota, Bali",Rp 164.000.000,
Suzuki,GL,Splash,2011,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,Jok kulit,Individu,"Koja, Jakarta Utara, Jakarta D.K.I.",Rp 75.000.000,
Suzuki,GL,Splash,2011,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,Jok kulit,Individu,"Koja, Jakarta Utara, Jakarta D.K.I.",Rp 75.000.000,
Honda,Lain-lain,Prestige,1987,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Sedan,>1.500 - 2.000 cc,Bluetooth Audio,Individu,"Krian, Sidoarjo  Kab., Jawa Timur",Rp 23.000.000,
Daihatsu,X,Ayla,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,<1.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Cileungsi, Bogor Kab., Jawa Barat",Rp 87.000.000,
Toyota,G,Avanza,2017,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Kamera Belakang', 'Moonroof', 'Sensor Parkir', 'Sunroof']",Individu,"Cipayung, Jakarta Timur, Jakarta D.K.I.",Rp 171.000.000,
